HEADERID,LINEITEMNUMBER,ITEMNAME,ITEMCODE,TRADINGGROUP,DESTINATIONORG,DONATEDQUANTITY,PROP1,PROP2,PROP3,PROP4,PROP5,PROP6,PROP7,PROP8,PROP9,PROP10,PROP11,PROP12,PROP13,PROP14,PROP16,PROP17,PROP18,PROP19,PROP20,NOTIFY,PROP15,STATUS,ACCEPTEDQUANTITY,ACCEPTEDDATE,RECEIPTEDQUANTITY,RECEIPTEDDATE,DESTINATIONORGNAME,COMMENTS,USERID,USERFIRSTNAME,USERLASTNAME,USEREMAIL,RPROP1,RPROP2,RPROP3,RPROP4,RPROP5,RPROP6,RPROP7,RPROP8,RPROP9,RPROP10,RPROP11,RPROP12,RPROP13,RPROP14,RPROP15,NUTRITIONALCODE,FOODSOURCE,FEATURETYPE
003001-20816,5,SF - Diced Peaches 4 oz,82058,,,0.0,EA,5.8,0.16667,OTHER,,DRY,0,,,,,,,,,,,,,,,1,20.0,20040623.0,,,,,,,,,3.33,,,,,,,,,,,,,,,,,
ID_193,4,USDA Egg Noodles 12/16oz (D),60047,,,1.0,CS,13,1.82,Case,,Dry,0,,,,,,,,,,,,,2.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003001-21077,2,SF - Club Sandwich (930),82055,,,0.0,EA,21,0.55,OTHER,,FROZEN,0,,,,,,,,,,,,,,,1,75.0,20040623.0,,,,,,,,,41.25,,,,,,,,,,,,,,,,,
003001-21077,3,SF - Mixed Fruit 4 oz,82059,,,0.0,EA,21.75,0.16667,OTHER,,DRY,0,,,,,,,,,,,,,,,1,75.0,20040623.0,,,,,,,,,12.5,,,,,,,,,,,,,,,,,
003001-21077,4,Milk 2% Reduced Fat 8oz,82048,,,0.0,EA,20,0.2015,OTHER,,REF,0,,,,,,,,,,,,,,,1,40.0,20040623.0,,,,,,,,,8.06,,,,,,,,,,,,,,,,,
003001-21077,5,Chocolate Milk,82049,,,0.0,EA,37.5,0.2155,OTHER,,REF,0,,,,,,,,,,,,,,,1,75.0,20040623.0,,,,,,,,,16.16,,,,,,,,,,,,,,,,,
003001-21073,2,SF - Club Sandwich (930),82055,,,0.0,EA,8.4,0.55,OTHER,,FROZEN,0,,,,,,,,,,,,,,,1,30.0,20040623.0,,,,,,,,,16.5,,,,,,,,,,,,,,,,,
003001-21073,4,SF - Apple Juice,82038,,,0.0,EA,7.5,0.092,OTHER,,REF,0,,,,,,,,,,,,,,,1,30.0,20040623.0,,,,,,,,,2.76,,,,,,,,,,,,,,,,,
003001-21073,5,Milk 2% Reduced Fat 8oz,82048,,,0.0,EA,15,0.2015,OTHER,,REF,0,,,,,,,,,,,,,,,1,30.0,20040623.0,,,,,,,,,6.05,,,,,,,,,,,,,,,,,
003001-21073,6,Chocolate Milk,82049,,,0.0,EA,15,0.2155,OTHER,,REF,0,,,,,,,,,,,,,,,1,30.0,20040623.0,,,,,,,,,6.47,,,,,,,,,,,,,,,,,
003001-21073,7,SF - Assorted Cereal (30 ct),82061,,,0.0,CS,4,7.04,CASE,,DRY,0,,,,,,,,,,,,,,,1,1.0,20040623.0,,,,,,,,,7.04,,,,,,,,,,,,,,,,,
ID_195,1,Asst Gatorade Drink 12/32oz(D),11406,,,1.0,CS,28,6.18,Case,,Dry,0,,,,,,,,,,,,,2.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003001-21071,2,SF - Club Sandwich (930),82055,,,0.0,EA,5.6,0.55,OTHER,,FROZEN,0,,,,,,,,,,,,,,,1,20.0,20040623.0,,,,,,,,,11,,,,,,,,,,,,,,,,,
003001-21071,3,SF - Mixed Fruit 4 oz,82059,,,0.0,EA,5.8,0.16667,OTHER,,DRY,0,,,,,,,,,,,,,,,1,20.0,20040623.0,,,,,,,,,3.33,,,,,,,,,,,,,,,,,
003001-21071,4,Milk 2% Reduced Fat 8oz,82048,,,0.0,EA,9.5,0.2015,OTHER,,REF,0,,,,,,,,,,,,,,,1,19.0,20040623.0,,,,,,,,,3.83,,,,,,,,,,,,,,,,,
003001-21071,5,Chocolate Milk,82049,,,0.0,EA,10,0.2155,OTHER,,REF,0,,,,,,,,,,,,,,,1,20.0,20040623.0,,,,,,,,,4.31,,,,,,,,,,,,,,,,,
003001-21075,2,SF - Club Sandwich (930),82055,,,0.0,EA,8.4,0.55,OTHER,,FROZEN,0,,,,,,,,,,,,,,,1,30.0,20040623.0,,,,,,,,,16.5,,,,,,,,,,,,,,,,,
003001-21075,3,SF - Mixed Fruit 4 oz,82059,,,0.0,EA,8.7,0.16667,OTHER,,DRY,0,,,,,,,,,,,,,,,1,30.0,20040623.0,,,,,,,,,5,,,,,,,,,,,,,,,,,
003001-21075,4,SF - Apple Juice,82038,,,0.0,EA,7.5,0.092,OTHER,,REF,0,,,,,,,,,,,,,,,1,30.0,20040623.0,,,,,,,,,2.76,,,,,,,,,,,,,,,,,
003001-21075,5,Chocolate Milk,82049,,,0.0,EA,15,0.2155,OTHER,,REF,0,,,,,,,,,,,,,,,1,30.0,20040623.0,,,,,,,,,6.47,,,,,,,,,,,,,,,,,
003001-21075,6,Milk 2% Reduced Fat 8oz,82048,,,0.0,EA,15,0.2015,OTHER,,REF,0,,,,,,,,,,,,,,,1,30.0,20040623.0,,,,,,,,,6.05,,,,,,,,,,,,,,,,,
003001-21075,7,SF - Assorted Cereal (30 ct),82061,,,0.0,CS,4,7.04,CASE,,DRY,0,,,,,,,,,,,,,,,1,1.0,20040623.0,,,,,,,,,7.04,,,,,,,,,,,,,,,,,
003001-21069,2,SF - Club Sandwich (930),82055,,,0.0,EA,14,0.55,OTHER,,FROZEN,0,,,,,,,,,,,,,,,1,50.0,20040623.0,,,,,,,,,27.5,,,,,,,,,,,,,,,,,
003001-21069,3,SF - Mixed Fruit 4 oz,82059,,,0.0,EA,14.5,0.16667,OTHER,,DRY,0,,,,,,,,,,,,,,,1,50.0,20040623.0,,,,,,,,,8.33,,,,,,,,,,,,,,,,,
003001-21069,4,SF - Apple Juice,82038,,,0.0,EA,12.5,0.092,OTHER,,REF,0,,,,,,,,,,,,,,,1,50.0,20040623.0,,,,,,,,,4.6,,,,,,,,,,,,,,,,,
003001-21069,5,Milk 2% Reduced Fat 8oz,82048,,,0.0,EA,25,0.2015,OTHER,,REF,0,,,,,,,,,,,,,,,1,50.0,20040623.0,,,,,,,,,10.08,,,,,,,,,,,,,,,,,
003001-21069,6,Chocolate Milk,82049,,,0.0,EA,25,0.2155,OTHER,,REF,0,,,,,,,,,,,,,,,1,50.0,20040623.0,,,,,,,,,10.78,,,,,,,,,,,,,,,,,
003001-21067,2,SF - Club Sandwich (930),82055,,,0.0,EA,9.8,0.55,OTHER,,FROZEN,0,,,,,,,,,,,,,,,1,35.0,20040623.0,,,,,,,,,19.25,,,,,,,,,,,,,,,,,
003001-21067,3,SF - Mixed Fruit 4 oz,82059,,,0.0,EA,10.15,0.16667,OTHER,,DRY,0,,,,,,,,,,,,,,,1,35.0,20040623.0,,,,,,,,,5.83,,,,,,,,,,,,,,,,,
003001-21067,4,SF - Apple Juice,82038,,,0.0,EA,8.75,0.092,OTHER,,REF,0,,,,,,,,,,,,,,,1,35.0,20040623.0,,,,,,,,,3.22,,,,,,,,,,,,,,,,,
003001-21067,5,Milk 2% Reduced Fat 8oz,82048,,,0.0,EA,7.5,0.2015,OTHER,,REF,0,,,,,,,,,,,,,,,1,15.0,20040623.0,,,,,,,,,3.02,,,,,,,,,,,,,,,,,
003001-21067,6,Chocolate Milk,82049,,,0.0,EA,17.5,0.2155,OTHER,,REF,0,,,,,,,,,,,,,,,1,35.0,20040623.0,,,,,,,,,7.54,,,,,,,,,,,,,,,,,
ID_195,2,Light Lemonade Drink 12/8oz(D),12271,,,2.0,CS,10,1.8,Case,,Dry,0,,,,,,,,,,,,,2.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003001-20971,2,SF - Turkey and Cheese Sandwich (910),82053,,,0.0,EA,14,0.53,OTHER,,FROZEN,0,,,,,,,,,,,,,,,1,50.0,20040623.0,,,,,,,,,26.5,,,,,,,,,,,,,,,,,
003001-20971,3,SF - Orange Juice,82037,,,0.0,EA,12.5,0.10677,OTHER,,REF,0,,,,,,,,,,,,,,,1,50.0,20040623.0,,,,,,,,,5.34,,,,,,,,,,,,,,,,,
